NS,ND,NF,Entropy,LA,LD,LT,FIX,NDEV,AGE,REXP,EXP,condition,Loop,Lock,Function,Runtime,Cpu,Memory,IO,runeffect,cpueffect,memeffect,ioeffect
1,3,3,1.468177321,0.007513661,0.015186029,0.09688957,0,2,0.12613767,NA,NA,1,0,0,7,0,0,0,0,implarge,impmedium,not,not
1,2,2,0.800987314,0.040300546,0.518602885,0.387175065,1,2,0.789801888,NA,NA,2,0,0,95,1,0,0,0,reglarge,impmedium,not,not
1,2,2,1,0.00136612,0.00531511,0.07542952,1,2,0.788107154,80,269,2,0,0,0,0,1,0,0,impmedium,regmedium,not,not
1,2,2,1,0.00136612,0.00531511,0.07542952,1,2,0.788107154,80,269,2,0,0,0,0,0,0,0,not,not,not,not
1,7,10,2.8032633,0.023907104,0.053151101,0.350705755,1,2,0.787657793,15,36,0,0,0,0,0,0,1,0,not,not,regmedium,not
1,1,1,0,0.00204918,0.003037206,0.062655681,1,2,0.787034568,20,225,0,0,0,6,1,0,0,0,reglarge,not,not,not
1,2,3,0.973266249,0.032786885,0.119210327,0.133678227,0,2,0.786517494,20,225,5,0,0,18,0,0,1,0,implarge,not,regmedium,not
1,2,3,0.973266249,0.032786885,0.119210327,0.133678227,0,2,0.786517494,20,225,8,6,0,56,0,0,0,0,implarge,not,implarge,not
1,1,1,0,0.00068306,0.003796507,0.033850674,0,2,0.781233531,15,36,0,0,0,4,1,0,0,0,regmedium,not,not,not
1,1,1,0,0.00068306,0.001518603,0.099763684,0,1,0.78065053,NA,NA,0,0,0,2,0,0,0,0,not,not,not,not
1,1,1,0,0.00068306,0,0.026633455,1,2,0.778560776,68,68,0,0,0,0,1,1,1,0,reglarge,regmedium,reglarge,not
1,3,5,1.722381174,0.016393443,0.079726651,0.413105959,1,1,0.773331485,6,25,3,0,0,5,0,1,0,0,not,regmedium,not,not
1,3,5,1.722381174,0.016393443,0.079726651,0.413105959,1,1,0.773331485,6,25,1,0,1,6,1,1,0,0,reglarge,regmedium,impmedium,not
1,1,2,0.735508582,0.008879781,0.011389522,0.130037683,1,2,0.767377846,177,402,0,0,0,18,0,0,0,0,impmedium,not,not,not
1,1,1,0,0.018442623,0.014426727,0.057290669,1,2,0.767418107,0,732,3,0,0,15,0,1,1,0,not,regmedium,reglarge,not
1,1,1,0,0,0.00531511,0.045538737,1,2,0.765384639,0,8,1,0,0,1,0,0,0,0,not,impmedium,not,not
1,3,4,0.8396509,0.006830601,0.077448747,0.164910264,1,2,0.764420344,28,81,0,0,0,2,0,0,1,0,not,not,reglarge,not
1,3,6,1.887575281,0.040300546,0.222475323,0.293670563,1,1,0.764525748,NA,NA,1,1,0,13,1,0,0,0,regmedium,not,not,not
1,3,6,1.887575281,0.040300546,0.222475323,0.293670563,1,1,0.764525748,NA,NA,0,0,0,0,0,1,1,1,not,reglarge,reglarge,reglarge
1,2,5,2.095933999,0.003415301,0.042520881,0.076643035,1,1,0.762911976,0,8,3,0,0,3,1,1,0,1,reglarge,reglarge,not,regmedium
1,2,5,2.095933999,0.003415301,0.042520881,0.076643035,1,1,0.762911976,0,8,2,0,0,2,0,0,0,0,not,not,impmedium,not
1,3,4,1.54444462,0.00136612,0.145026576,0.195695216,1,2,0.760682453,NA,NA,0,0,0,1,0,0,0,0,not,not,not,not
1,5,10,1.716338493,0.137978142,0.223993926,0.319409849,1,2,0.759432799,0,732,1,2,0,40,1,0,0,0,regmedium,impmedium,not,not
1,5,10,1.716338493,0.137978142,0.223993926,0.319409849,0,2,0.759432799,0,732,0,0,0,2,0,1,0,0,impmedium,reglarge,not,not
1,2,2,0.811278124,0.010245902,0.024297646,0.443124481,0,2,0.75760757,0,732,2,0,0,2,0,0,0,0,not,implarge,not,not
1,1,1,0,0.00068306,0.001518603,0.028102446,1,2,0.752678073,NA,NA,0,0,0,3,0,0,0,0,not,impmedium,not,not
1,2,2,0.244765082,0.00136612,0.110098709,0.153094463,0,1,0.752784921,80,269,0,0,0,2,0,0,0,0,not,not,not,not
1,2,2,0.666578358,0,0.016704632,0.085520853,1,1,0.752389521,NA,NA,1,0,0,0,1,1,1,1,regmedium,regmedium,regmedium,reglarge
1,1,1,0,0.00136612,0.006074412,0.146260459,1,2,0.749845133,0,150,1,0,1,4,0,0,0,0,not,not,not,not
1,1,1,0,0.004098361,0.007593014,0.044708437,1,2,0.74623578,NA,NA,0,0,0,7,0,0,0,0,impmedium,not,not,not
1,2,2,0.863120569,0.030054645,0.114654518,0.102765536,1,2,0.745464468,43,88,3,3,2,39,0,0,0,0,not,impmedium,impmedium,not
1,2,2,0.566509507,0.00068306,0.009870919,0.125694578,1,2,0.686125891,NA,NA,0,0,0,2,0,0,0,0,not,not,not,not
1,1,1,0,0.00068306,0.006074412,0.01590343,1,2,0.688234387,15,742,0,0,0,5,0,0,0,0,not,not,not,not
1,3,3,0.485685255,0.004098361,0.088078967,0.276106534,1,2,0.680352477,37,73,0,0,0,4,0,0,0,0,not,not,not,not
1,4,5,1.264928677,0.00136612,0.132118451,0.380404931,1,2,0.679709581,NA,NA,0,0,0,0,0,0,0,0,not,not,not,not
1,4,5,1.264928677,0.00136612,0.132118451,0.380404931,1,2,0.679709581,NA,NA,1,0,0,2,0,0,0,0,not,not,not,not
2,4,3,1.187993235,0.084016393,0.271070615,0.063677588,1,2,0.701983285,NA,NA,0,0,0,1,1,0,0,0,reglarge,not,not,not
1,1,1,0,0.018442623,0.01063022,0.067126525,1,2,0.706709779,9,189,2,0,0,15,0,0,0,0,implarge,not,not,not
1,2,4,1.873271748,0.012978142,0.053151101,0.158587213,1,2,0.743054171,28,81,0,0,0,7,0,0,1,0,implarge,implarge,regmedium,not
1,2,3,1.058958257,0.012978142,0.053910402,0.182985246,0,2,0.701932185,68,68,4,2,0,24,0,0,0,0,not,not,not,not
1,1,1,0,0.00204918,0.001518603,0.065018841,1,2,0.715572107,28,81,0,0,0,4,0,0,1,0,not,not,regmedium,not
1,1,1,0,0.00204918,0.001518603,0.065018841,0,2,0.714980445,28,81,0,0,0,4,0,1,0,0,impmedium,reglarge,not,not
1,1,1,0,0.003415301,0.006074412,0.146004982,0,2,0.713790124,0,4,0,0,0,12,1,0,0,0,reglarge,impmedium,not,not
1,1,1,0,0.00204918,0.025056948,0.054352686,1,2,0.712759682,NA,NA,7,0,0,6,0,0,0,0,not,not,not,not
1,1,1,0,0.018442623,0.01063022,0.067126525,0,2,0.705605557,9,189,2,0,0,15,0,0,0,0,implarge,not,not,not
1,2,3,1.550494982,0.00136612,0.015186029,0.067956824,1,2,0.703428443,10,11,1,0,0,3,0,1,1,0,implarge,reglarge,reglarge,not
1,2,3,1.550494982,0.00136612,0.015186029,0.067956824,1,2,0.703428443,10,11,0,0,0,3,0,0,0,0,not,not,not,not
2,7,9,2.374334115,0.015710383,0.063781321,0.056907454,1,2,0.700748629,76,82,0,0,0,0,1,0,0,0,reglarge,not,impmedium,not
2,6,12,2.666126134,0.143442623,0.217919514,0.615124226,1,2,0.700728872,46,46,1,0,0,1,0,0,0,0,implarge,not,not,not
2,6,12,2.666126134,0.143442623,0.217919514,0.615124226,0,2,0.700728872,46,46,0,0,0,1,0,0,0,0,not,not,not,not
2,6,12,2.666126134,0.143442623,0.217919514,0.615124226,0,2,0.700728872,46,46,0,0,0,0,1,1,0,0,reglarge,regmedium,not,not
